54, 68, 67
50, 63, 61
47, 60, 58
49, 62, 60
51, 65, 64
98, 141, 150
27, 69, 74
23, 61, 61
29, 67, 67
36, 68, 67
39, 69, 70
42, 73, 72
36, 72, 72
25, 55, 60
75, 112, 116
64, 108, 109
63, 110, 108
81, 79, 85
79, 77, 83
77, 75, 81
79, 75, 81
79, 75, 81
75, 71, 77
71, 67, 73
71, 67, 73
70, 66, 72
82, 78, 84
77, 74, 83
76, 74, 80
78, 76, 82
76, 74, 80
81, 79, 85
80, 75, 77
79, 78, 82
90, 87, 96
89, 85, 96
88, 84, 95
86, 83, 92
84, 80, 86
80, 76, 81
79, 75, 81
79, 75, 81
80, 76, 82
90, 87, 96
79, 78, 88
86, 82, 93
88, 84, 95
86, 82, 93
86, 85, 95
89, 85, 96
78, 75, 84
79, 76, 85
82, 81, 91
91, 86, 95
72, 70, 76
74, 71, 80
80, 77, 86
83, 79, 85
88, 85, 94
77, 75, 81
78, 74, 85
86, 82, 88
66, 112, 113
61, 112, 115
61, 112, 115
18, 53, 56
70, 111, 113
50, 68, 67
56, 74, 73
52, 71, 74
52, 70, 71
56, 70, 69
53, 71, 72
64, 99, 103
55, 69, 68
56, 70, 69
51, 68, 71
46, 66, 67
25, 47, 52
43, 71, 72
57, 71, 70
54, 70, 69
54, 68, 67
